Forecast,webpage,About,logo_file,hint
USA-NPN Pheno Forecast,https://www.usanpn.org/data/forecasts/,The USA-NPN Pheno Forecast delivers short-term (6d) threshold-based forecasts of phenological events in plants and pest insects.,/activity_a_images/USA_phenology_emeraldashborer.png,Hint: Select a species from the table on the main webpage and look at the forecast images (you can try using the interactive forecast visualizations as well!).
Smart & Connected Water Systems,https://smartreservoir.org/forecasts/,"A project which is developing a smart water system that integrates novel high-frequency sensors, cyberinfrastructure, and ecosystem forecasting techniques to improve the management of drinking water supply lakes and reservoirs.",/activity_a_images/SCC_watertemp_forecast.png,Hint: Watch one of the videos under 'In the News' tab to learn more about why this project is making waves in ecological forecast and water management
EcoCast,https://coastwatch.pfeg.noaa.gov/ecocast/,EcoCast is a fisheries sustainability tool that helps fishers and managers evaluate how to allocate fishing effort to optimize the sustainable harvest of target fish while minimizing bycatch of protected or threatened animals.,/activity_a_images/EcoCast_forecast.png,Hint: Look at both the EcoCast Map and the EcoCast Explorer to customize your forecast visualization and explore different scenarios based on decision-needs
Atlantic Sturgeon Risk of Encounter,http://robots.ceoe.udel.edu/shiny/sturgeon/,"This forecast is developed for mature Atlantic Sturgeon using historic telemetry observations matched to date, bathymetry, and sea surface temperature and ocean color from NASA?s MODIS AQUA satellite.",/activity_a_images/AtlanticSturgeon_forecast.png,Hint: Look through different dates of forecasts using the 'Select a Date to Update Plot' dropdown to see forecasts with different levels of predicted risk.
Ecocaster,https://eco.bigelow.org/,"This project produces ecosystem forecasts informed by citizen reports. They are launching daily forecasts for ticks, jellyfish, and more using data provided by citizens across the country.",ecocaster_logo.png,"Hint: Check out different forecast variables (e.g., tick, jellyfish, moose crash, marine debris) before choosing one for Objectives 1 and 2."
Phenology Forecasts,https://phenology.naturecast.org/,"This project produceds spatial forecasts of phenological events like when flowers or leaves will appear for a variety of plant species around the US, produced by Shawn Taylor, an ecologist at the University of Florida",/activity_a_images/Phenology_forecast_gingko.png,"Hint: Try the different options for Issue Date, Species, and Phenophase to select a forecast that interests you."
Portal Forecast,https://portal.naturecast.org/,An ongoing project to forecast a time series of desert rodent abundances using a long-term historical dataset,/activity_a_images/portal_rodent_forecast.png,Hint: Look at all the different forecast visualizations on the 'Current Forecast' tab before choosing one for Objectives 1 and 2.
Coral Reef Watch,https://coralreefwatch.noaa.gov/,NOAA's Coral Reef Watch uses remote sensing and models to produce forecasts of coral reef environments worldwide.,/activity_a_images/NOAA_coralheatstress_forecast.gif,Hint: Look at the 'Experimental Products' on the left to see different forecast products. 
GrassCast,https://grasscast.unl.edu/,Grass-Cast is an experimental grassland producitivity forecast for the Great Plains region which uses a nearly 40-year historical dataset combined with seasonal precipitation forecasts to predict how rangeland productivity will different from past trends,/activity_a_images/GrassCast_forecast.png,Hint: Watch the Grass-Cast video under the 'Introductory Video' tab to learn more about the motivations and process behind the Grass-Cast forecasts.
Phenology Monitoring at the Morton Aboretum,https://www.rolliecology.com/phenology,"Using forecasted weather data, this project forecasts the probability of bud burst of various types of tree species at the Morton Arboretum in Illinois, USA.",/activity_a_images/Morton_Quercus_forecast_cropped.png,
